DPI,Cup ID,Exp,temp,DTR,Oocyst_number,Oocyst_presence,gametocytemia
22.4,3,1,19,0,1,1,0.00024137931034482800
22.4,3,1,19,0,1,1,0.00024137931034482800
22.4,4,1,19,0,4,1,0.00024137931034482800
22.4,4,1,19,0,1,1,0.00024137931034482800
22.4,4,1,19,0,1,1,0.00024137931034482800
16.4,5,1,21,0,1,1,0.00024137931034482800
12.4,7,1,23,0,4,1,0.00024137931034482800
12.4,8,1,23,0,5,1,0.00024137931034482800
12.4,8,1,23,0,2,1,0.00024137931034482800
12.4,8,1,23,0,2,1,0.00024137931034482800
12.4,8,1,23,0,5,1,0.00024137931034482800
12.4,8,1,23,0,1,1,0.00024137931034482800
9.5,9,1,25,0,4,1,0.00024137931034482800
9.5,9,1,25,0,3,1,0.00024137931034482800
9.5,9,1,25,0,1,1,0.00024137931034482800
9.5,9,1,25,0,4,1,0.00024137931034482800
9.5,10,1,25,0,1,1,0.00024137931034482800
9.5,10,1,25,0,1,1,0.00024137931034482800
9.5,10,1,25,0,9,1,0.00024137931034482800
9.5,10,1,25,0,14,1,0.00024137931034482800
9.5,10,1,25,0,8,1,0.00024137931034482800
6.5,11,1,27,0,23,1,0.00024137931034482800
6.5,11,1,27,0,1,1,0.00024137931034482800
6.5,12,1,27,0,1,1,0.00024137931034482800
6.5,12,1,27,0,1,1,0.00024137931034482800
6.5,12,1,27,0,1,1,0.00024137931034482800
6.5,12,1,27,0,1,1,0.00024137931034482800
6.5,12,1,27,0,4,1,0.00024137931034482800
5.4,13,1,29,0,1,1,0.00024137931034482800
5.4,13,1,29,0,2,1,0.00024137931034482800
5.4,14,1,29,0,6,1,0.00024137931034482800
5.4,14,1,29,0,1,1,0.00024137931034482800
5.4,14,1,29,0,2,1,0.00024137931034482800
5.4,14,1,29,0,1,1,0.00024137931034482800
33.8,2,2,17,0,1,1,0.001263158
33.8,2,2,17,0,1,1,0.001263158
33.8,2,2,17,0,2,1,0.001263158
33.8,3,2,17,0,1,1,0.001263158
22.8,4,2,19,0,6,1,0.001263158
22.8,4,2,19,0,3,1,0.001263158
22.8,4,2,19,0,3,1,0.001263158
22.8,5,2,19,0,1,1,0.001263158
22.8,5,2,19,0,4,1,0.001263158
22.8,5,2,19,0,2,1,0.001263158
22.8,5,2,19,0,4,1,0.001263158
22.8,6,2,19,0,2,1,0.001263158
22.8,6,2,19,0,2,1,0.001263158
22.8,6,2,19,0,1,1,0.001263158
22.8,6,2,19,0,13,1,0.001263158
22.8,6,2,19,0,1,1,0.001263158
16.8,7,2,21,0,69,1,0.001263158
16.8,7,2,21,0,6,1,0.001263158
16.8,7,2,21,0,3,1,0.001263158
16.8,7,2,21,0,44,1,0.001263158
16.8,7,2,21,0,33,1,0.001263158
16.8,7,2,21,0,5,1,0.001263158
16.8,7,2,21,0,2,1,0.001263158
16.8,7,2,21,0,66,1,0.001263158
16.8,7,2,21,0,19,1,0.001263158
16.8,7,2,21,0,1,1,0.001263158
16.8,7,2,21,0,16,1,0.001263158
16.8,8,2,21,0,2,1,0.001263158
16.8,8,2,21,0,1,1,0.001263158
16.8,8,2,21,0,7,1,0.001263158
16.8,8,2,21,0,9,1,0.001263158
16.8,8,2,21,0,81,1,0.001263158
16.8,8,2,21,0,31,1,0.001263158
16.8,8,2,21,0,4,1,0.001263158
16.8,8,2,21,0,4,1,0.001263158
16.8,8,2,21,0,4,1,0.001263158
16.8,8,2,21,0,3,1,0.001263158
12.8,9,2,23,0,99,1,0.001263158
12.8,9,2,23,0,27,1,0.001263158
12.8,9,2,23,0,48,1,0.001263158
12.8,9,2,23,0,9,1,0.001263158
12.8,9,2,23,0,14,1,0.001263158
12.8,9,2,23,0,1,1,0.001263158
12.8,9,2,23,0,18,1,0.001263158
12.8,9,2,23,0,3,1,0.001263158
12.8,9,2,23,0,36,1,0.001263158
12.8,9,2,23,0,35,1,0.001263158
12.8,9,2,23,0,14,1,0.001263158
12.8,9,2,23,0,56,1,0.001263158
12.8,10,2,23,0,1,1,0.001263158
12.8,10,2,23,0,33,1,0.001263158
12.8,10,2,23,0,16,1,0.001263158
12.8,10,2,23,0,14,1,0.001263158
12.8,10,2,23,0,69,1,0.001263158
12.8,10,2,23,0,50,1,0.001263158
12.8,10,2,23,0,1,1,0.001263158
12.8,10,2,23,0,27,1,0.001263158
12.8,10,2,23,0,1,1,0.001263158
12.8,10,2,23,0,1,1,0.001263158
12.8,10,2,23,0,4,1,0.001263158
12.8,10,2,23,0,1,1,0.001263158
12.8,10,2,23,0,30,1,0.001263158
12.8,10,2,23,0,3,1,0.001263158
9.7,11,2,25,0,53,1,0.001263158
9.7,11,2,25,0,8,1,0.001263158
9.7,11,2,25,0,19,1,0.001263158
9.7,11,2,25,0,9,1,0.001263158
9.7,11,2,25,0,39,1,0.001263158
9.7,11,2,25,0,2,1,0.001263158
9.7,11,2,25,0,6,1,0.001263158
9.7,11,2,25,0,1,1,0.001263158
9.7,11,2,25,0,4,1,0.001263158
9.7,11,2,25,0,20,1,0.001263158
9.7,12,2,25,0,2,1,0.001263158
9.7,12,2,25,0,2,1,0.001263158
9.7,12,2,25,0,4,1,0.001263158
9.7,12,2,25,0,87,1,0.001263158
9.7,12,2,25,0,3,1,0.001263158
9.7,12,2,25,0,4,1,0.001263158
9.7,12,2,25,0,1,1,0.001263158
9.7,12,2,25,0,8,1,0.001263158
9.7,12,2,25,0,3,1,0.001263158
9.7,12,2,25,0,8,1,0.001263158
7.7,13,2,27,0,9,1,0.001263158
7.7,13,2,27,0,8,1,0.001263158
7.7,13,2,27,0,64,1,0.001263158
7.7,13,2,27,0,28,1,0.001263158
7.7,13,2,27,0,7,1,0.001263158
7.7,13,2,27,0,3,1,0.001263158
7.7,13,2,27,0,15,1,0.001263158
7.7,13,2,27,0,3,1,0.001263158
7.7,13,2,27,0,3,1,0.001263158
7.7,13,2,27,0,9,1,0.001263158
7.7,13,2,27,0,14,1,0.001263158
7.7,13,2,27,0,80,1,0.001263158
7.7,14,2,27,0,2,1,0.001263158
7.7,14,2,27,0,7,1,0.001263158
7.7,14,2,27,0,1,1,0.001263158
7.7,14,2,27,0,18,1,0.001263158
7.7,14,2,27,0,2,1,0.001263158
7.7,14,2,27,0,62,1,0.001263158
7.7,14,2,27,0,3,1,0.001263158
7.7,14,2,27,0,6,1,0.001263158
7.7,14,2,27,0,44,1,0.001263158
7.7,14,2,27,0,13,1,0.001263158
7.7,14,2,27,0,6,1,0.001263158
7.7,14,2,27,0,14,1,0.001263158
7.7,14,2,27,0,86,1,0.001263158
7.7,14,2,27,0,2,1,0.001263158
6.7,15,2,29,0,19,1,0.001263158
6.7,15,2,29,0,3,1,0.001263158
6.7,15,2,29,0,7,1,0.001263158
6.7,15,2,29,0,1,1,0.001263158
6.7,15,2,29,0,32,1,0.001263158
6.7,15,2,29,0,2,1,0.001263158
6.7,15,2,29,0,28,1,0.001263158
6.7,15,2,29,0,6,1,0.001263158
6.7,15,2,29,0,2,1,0.001263158
6.7,15,2,29,0,12,1,0.001263158
6.7,15,2,29,0,19,1,0.001263158
6.7,16,2,29,0,1,1,0.001263158
6.7,16,2,29,0,19,1,0.001263158
6.7,16,2,29,0,3,1,0.001263158
6.7,16,2,29,0,17,1,0.001263158
6.7,16,2,29,0,20,1,0.001263158
6.7,16,2,29,0,21,1,0.001263158
6.7,16,2,29,0,9,1,0.001263158
6.7,16,2,29,0,18,1,0.001263158
6.7,16,2,29,0,12,1,0.001263158
6.7,16,2,29,0,18,1,0.001263158
6.7,16,2,29,0,51,1,0.001263158
6.7,16,2,29,0,8,1,0.001263158
25.8,1,3,18,0,1,1,0.001389984
25.8,1,3,18,0,1,1,0.001389984
25.8,1,3,18,0,10,1,0.001389984
25.8,2,3,18,0,1,1,0.001389984
25.8,2,3,18,0,1,1,0.001389984
25.8,2,3,18,0,10,1,0.001389984
25.8,3,3,18,0,1,1,0.001389984
25.8,3,3,18,0,1,1,0.001389984
25.8,3,3,18,0,3,1,0.001389984
25.8,3,3,18,0,1,1,0.001389984
25.8,3,3,18,0,1,1,0.001389984
25.8,13,3,18,0,2,1,0.001389984
25.8,13,3,18,0,1,1,0.001389984
25.8,13,3,18,0,1,1,0.001389984
25.8,14,3,18,0,1,1,0.001389984
20.6,4,3,19,0,2,1,0.001389984
20.6,4,3,19,0,15,1,0.001389984
20.6,4,3,19,0,4,1,0.001389984
20.6,4,3,19,0,3,1,0.001389984
20.6,4,3,19,0,2,1,0.001389984
20.6,5,3,19,0,1,1,0.001389984
20.6,5,3,19,0,4,1,0.001389984
20.6,5,3,19,0,1,1,0.001389984
20.7,16,3,19,0,3,1,0.001389984
20.7,16,3,19,0,1,1,0.001389984
20.7,16,3,19,0,4,1,0.001389984
20.7,16,3,19,0,2,1,0.001389984
20.7,16,3,19,0,2,1,0.001389984
20.7,17,3,19,0,4,1,0.001389984
20.7,17,3,19,0,1,1,0.001389984
20.7,17,3,19,0,6,1,0.001389984
18.8,6,3,20,0,1,1,0.001389984
18.8,6,3,20,0,9,1,0.001389984
18.8,6,3,20,0,47,1,0.001389984
18.8,6,3,20,0,7,1,0.001389984
18.8,6,3,20,0,1,1,0.001389984
18.8,6,3,20,0,2,1,0.001389984
18.8,18,3,20,0,2,1,0.001389984
18.8,18,3,20,0,7,1,0.001389984
18.8,18,3,20,0,3,1,0.001389984
18.8,18,3,20,0,2,1,0.001389984
18.8,18,3,20,0,7,1,0.001389984
18.8,18,3,20,0,1,1,0.001389984
18.8,18,3,20,0,3,1,0.001389984
18.8,18,3,20,0,65,1,0.001389984
18.8,18,3,20,0,1,1,0.001389984
12.9,7,3,23,0,23,1,0.001389984
12.9,7,3,23,0,30,1,0.001389984
12.9,7,3,23,0,7,1,0.001389984
12.9,7,3,23,0,16,1,0.001389984
12.9,7,3,23,0,5,1,0.001389984
12.9,7,3,23,0,6,1,0.001389984
12.9,7,3,23,0,11,1,0.001389984
12.9,7,3,23,0,160,1,0.001389984
12.9,7,3,23,0,7,1,0.001389984
12.9,7,3,23,0,117,1,0.001389984
12.9,7,3,23,0,135,1,0.001389984
12.9,19,3,23,0,202,1,0.001389984
12.9,19,3,23,0,4,1,0.001389984
12.9,19,3,23,0,3,1,0.001389984
12.9,19,3,23,0,12,1,0.001389984
12.9,19,3,23,0,231,1,0.001389984
12.9,19,3,23,0,4,1,0.001389984
12.9,19,3,23,0,85,1,0.001389984
12.9,19,3,23,0,1,1,0.001389984
12.9,19,3,23,0,20,1,0.001389984
9.6,8,3,25,0,105,1,0.001389984
9.6,8,3,25,0,12,1,0.001389984
9.6,8,3,25,0,3,1,0.001389984
9.6,8,3,25,0,236,1,0.001389984
9.6,8,3,25,0,8,1,0.001389984
9.6,8,3,25,0,111,1,0.001389984
9.6,8,3,25,0,47,1,0.001389984
9.6,8,3,25,0,3,1,0.001389984
9.6,8,3,25,0,26,1,0.001389984
9.6,8,3,25,0,68,1,0.001389984
9.6,8,3,25,0,4,1,0.001389984
9.6,20,3,25,0,10,1,0.001389984
9.6,20,3,25,0,35,1,0.001389984
9.6,20,3,25,0,25,1,0.001389984
9.6,20,3,25,0,54,1,0.001389984
9.6,20,3,25,0,2,1,0.001389984
9.6,20,3,25,0,47,1,0.001389984
9.6,20,3,25,0,1,1,0.001389984
9.6,20,3,25,0,77,1,0.001389984
9.6,20,3,25,0,97,1,0.001389984
9.6,20,3,25,0,68,1,0.001389984
9.6,20,3,25,0,116,1,0.001389984
9.6,20,3,25,0,4,1,0.001389984
9.6,20,3,25,0,97,1,0.001389984
9.6,20,3,25,0,7,1,0.001389984
6.7,9,3,28,0,14,1,0.001389984
6.7,9,3,28,0,6,1,0.001389984
6.7,9,3,28,0,79,1,0.001389984
6.7,9,3,28,0,4,1,0.001389984
6.7,9,3,28,0,22,1,0.001389984
6.7,9,3,28,0,3,1,0.001389984
6.7,9,3,28,0,3,1,0.001389984
6.7,9,3,28,0,144,1,0.001389984
6.7,9,3,28,0,137,1,0.001389984
6.7,9,3,28,0,9,1,0.001389984
6.7,9,3,28,0,2,1,0.001389984
6.7,9,3,28,0,43,1,0.001389984
6.7,9,3,28,0,7,1,0.001389984
6.7,9,3,28,0,3,1,0.001389984
6.7,21,3,28,0,11,1,0.001389984
6.7,21,3,28,0,46,1,0.001389984
6.7,21,3,28,0,22,1,0.001389984
6.7,21,3,28,0,20,1,0.001389984
6.7,21,3,28,0,6,1,0.001389984
6.7,21,3,28,0,1,1,0.001389984
6.7,21,3,28,0,12,1,0.001389984
6.7,21,3,28,0,8,1,0.001389984
6.7,21,3,28,0,7,1,0.001389984
6.8,10,3,29,0,77,1,0.001389984
6.8,10,3,29,0,1,1,0.001389984
6.8,10,3,29,0,9,1,0.001389984
6.8,10,3,29,0,11,1,0.001389984
6.8,10,3,29,0,6,1,0.001389984
6.8,10,3,29,0,16,1,0.001389984
6.8,10,3,29,0,1,1,0.001389984
6.8,10,3,29,0,2,1,0.001389984
6.8,22,3,29,0,3,1,0.001389984
6.8,22,3,29,0,1,1,0.001389984
6.8,22,3,29,0,35,1,0.001389984
6.8,22,3,29,0,8,1,0.001389984
6.8,22,3,29,0,45,1,0.001389984
6.8,22,3,29,0,5,1,0.001389984
6.8,22,3,29,0,4,1,0.001389984
6.8,22,3,29,0,17,1,0.001389984
6.8,22,3,29,0,8,1,0.001389984
6.8,22,3,29,0,11,1,0.001389984
6.8,11,3,30,0,1,1,0.001389984
6.8,11,3,30,0,2,1,0.001389984
6.8,11,3,30,0,1,1,0.001389984
6.8,11,3,30,0,1,1,0.001389984
6.8,11,3,30,0,2,1,0.001389984
6.8,11,3,30,0,8,1,0.001389984
6.8,11,3,30,0,7,1,0.001389984
6.8,11,3,30,0,1,1,0.001389984
6.8,11,3,30,0,2,1,0.001389984
6.8,12,3,30,0,13,1,0.001389984
6.8,12,3,30,0,17,1,0.001389984
6.8,12,3,30,0,2,1,0.001389984
6.8,12,3,30,0,17,1,0.001389984
6.8,12,3,30,0,1,1,0.001389984
6.8,12,3,30,0,3,1,0.001389984
6.8,12,3,30,0,1,1,0.001389984
6.8,12,3,30,0,1,1,0.001389984
6.8,12,3,30,0,4,1,0.001389984
6.8,12,3,30,0,7,1,0.001389984
6.9,23,3,30,0,3,1,0.001389984
6.9,23,3,30,0,2,1,0.001389984
6.9,23,3,30,0,1,1,0.001389984
6.9,23,3,30,0,3,1,0.001389984
6.9,24,3,30,0,1,1,0.001389984
6.9,24,3,30,0,7,1,0.001389984
6.9,24,3,30,0,2,1,0.001389984
6.9,24,3,30,0,16,1,0.001389984
6.9,24,3,30,0,1,1,0.001389984
6.9,24,3,30,0,1,1,0.001389984
6.9,24,3,30,0,4,1,0.001389984
6.9,24,3,30,0,2,1,0.001389984